Episode,Train Rewards,Test Rewards
0,-10.9,-11.7
1,-10.8,-11.3
2,-10.8,-10.8
3,-10.7,-10.8
4,-11.3,-10.8
5,-10.7,-10.8
6,-10.8,-10.8
7,-11.2,-10.8
8,-10.9,-10.8
9,-10.9,-10.8
10,19.2,-10.8
11,-11.5,-11.7
12,-10.9,-11.7
13,-11.0,-11.7
14,-21.7,-11.7
15,-11.3,-11.7
16,-11.4,-11.7
17,-11.6,-11.7
18,-10.7,-11.7
19,-11.3,-11.7
20,19.1,-11.7
21,17.6,-11.7
22,-11.1,-11.7
23,-10.7,-11.5
24,-13.4,-11.5
25,-10.7,-11.5
26,-10.7,-11.5
27,-10.9,-11.5
28,-11.2,-11.5
29,18.3,18.4
30,-10.6,-11.5
31,-11.2,-11.5
32,-10.8,-11.5
33,-12.9,18.4
34,-10.6,18.4
35,-10.7,18.4
36,-10.9,18.4
37,-10.7,18.4
38,-11.5,18.4
39,-11.4,18.4
40,-10.8,18.4
41,19.0,-11.6
42,-12.7,-11.6
43,-11.5,-11.3
44,-11.2,-11.3
45,-11.3,-11.3
46,19.0,-11.3
47,-10.9,-11.3
48,-10.8,-11.3
49,-21.3,-11.3
50,-10.5,-11.3
51,-1.2,-11.3
52,-10.7,-11.3
53,-12.1,-11.3
54,-1.4,-11.3
55,-10.9,-11.3
56,-1.0,-11.3
57,19.4,-11.3
58,19.4,-11.3
59,18.9,-11.3
60,-10.6,-11.3
61,-1.0,-11.3
62,-10.8,-11.3
63,-10.9,-11.3
64,18.7,-11.3
65,-10.6,-11.3
66,-10.7,-11.3
67,-11.1,-11.3
68,18.7,-11.1
69,19.4,-11.1
70,19.2,-10.9
71,-10.6,-10.9
72,19.4,-11.1
73,-10.8,-10.9
74,9.3,-11.1
75,19.2,-11.7
76,18.8,-10.9
77,-10.6,-10.9
78,-11.2,-11.1
79,-10.8,-11.1
80,19.0,-11.1
81,-10.6,18.9
82,-11.0,-11.7
83,-11.6,18.9
84,19.1,-11.1
85,18.2,-11.1
86,-21.2,-11.8
87,-10.6,-11.8
88,19.1,-11.1
89,-11.4,-11.1
90,-11.5,-10.9
91,-10.8,-10.9
92,-10.8,-11.6
93,-11.1,-10.9
94,-11.1,-10.9
95,-10.6,-10.9
96,-10.8,-10.9
97,-10.9,-10.9
98,-10.5,-12.2
99,-11.0,-11.6
100,-10.6,-10.9
101,-11.6,-11.6
102,19.1,-10.9
103,-1.1,-11.3
104,-11.0,-11.3
105,-10.6,-10.9
106,-1.1,-10.9
107,19.1,-11.6
108,-11.0,-11.6
109,-10.5,-11.6
110,-1.7,-11.6
111,-11.9,-11.6
